"gameid","team1","team2","team1sets","team2sets","team1win","team2win"
6174434,"Miami (FL)","FIU",3,0,1,0
6174435,"Cincinnati","Xavier",1,3,0,1
6174436,"FGCU","Ole Miss",3,2,1,0
6174437,"Colorado","Campbell",3,0,1,0
6174438,"Seattle U","UC Riverside",3,0,1,0
6174439,"Temple","LIU",3,0,1,0
6174440,"Tennessee","UT Martin",3,0,1,0
6174441,"Ark.-Pine Bluff","Northern Ariz.",0,3,0,1
6174443,"Texas Tech","Notre Dame",3,1,1,0
6174444,"Hofstra","Delaware St.",3,1,1,0
6174445,"Georgia","Florida St.",0,3,0,1
6174446,"Delaware","Niagara",3,0,1,0
6174448,"Col. of Charleston","West Virginia",1,3,0,1
6174450,"Omaha","Kansas",0,3,0,1
6174451,"Auburn","Jacksonville St.",3,0,1,0
6174452,"Missouri","Central Ark.",3,2,1,0
6174453,"Ball St.","Purdue Fort Wayne",3,0,1,0
6174454,"Colorado St.","Stanford",1,3,0,1
6174455,"Montana St.","Kennesaw St.",3,1,1,0
6174456,"George Mason","Georgetown",0,3,0,1
6174457,"Wyoming","Green Bay",3,0,1,0
6174458,"Binghamton","Saint Peter's",3,0,1,0
6174459,"Bryant","Rhode Island",3,1,1,0
6174460,"Air Force","UT Arlington",2,3,0,1
